Ranking,Legend,score
1,威尔特·张伯伦,271
2,迈克尔·乔丹,173
3,科比·布莱恩特,122
4,詹姆斯·哈登,101
5,埃尔金·贝勒,88
6,阿伦·艾弗森,79
7,奥斯卡·罗伯特森,77
8,勒布朗·詹姆斯,74
9,凯文·杜兰特,65
10,杰里·韦斯特,66
