Ranking,Legend,score
1,威尔特·张伯伦,118
2,迈克尔·乔丹,31
3,科比·布莱恩特,25
4,詹姆斯·哈登,23
5,埃尔金·贝勒,17
6,里克·巴里,14
7,勒布朗·詹姆斯,14
8,达米安·利拉德,12
9,斯蒂芬·库里,11
10,卡里姆·阿卜杜尔·贾巴尔,10
