Ranking,film,box office
1,八佰,31.11亿
2,我和我的家乡,28.29亿
3,姜子牙,16.03亿
4,金刚川,11.22亿
5,夺冠,8.36亿
6,拆弹专家2,6.02亿
7,除暴,5.38亿
8,宠爱,5.10亿
9,我在时间尽头等你,5.05亿
10,误杀,5.01亿
11,信条,4.56亿
12,紧急救援,4.38亿
13,叶问4,4.18亿
14,沐浴之王,4.02亿‌‌
15,疯狂原始人2,3.37亿
16,如果声音不记得,3.34亿
17,一点就到家,3.12亿
18,急先锋,2.94亿
19,花木兰,2.78亿
20,送你一朵小红花,2.36亿
