Ranking,film,box office
1,人再囧途之泰囧,10.02亿
2,泰坦尼克号,9.46亿
3,画皮2,7.02亿
4,碟中碟4,6.72亿
5,少年派的奇幻漂流,5.73亿
6,复仇者联盟,5.66亿
7,十二生肖,5.35亿
8,黑衣人3,5.03亿
9,冰川时代4,4.47亿
10,地心历险记2-神秘岛,3.86亿
11,1942,3.70亿
12,蝙蝠侠黑暗骑士崛起,3.38亿
13,敢死队2,3.31亿
14,超凡蜘蛛侠,3.11亿‌‌
15,超级战舰,3.10亿
16,异星战场,2.59亿
17,寒战,2.53亿
18,听风者,2.32亿
19,普罗米修斯,2.23亿
20,谍影重重4,2.13亿
