Ranking,film,box office
1,长津湖之水门桥,40.67亿
2,独行月球,31.03亿
3,这个杀手不太冷静,26.28亿
4,人生大事,17.12亿
5,万里归途,15.93亿
6,奇迹-笨小孩,13.79亿
7,侏罗纪世界3,10.60亿
8,熊出没-重返地球,9.78亿
9,阿凡达2-水之道,9.54亿
10,神探大战,7.12亿
11,明日战记,6.79亿
12,穿越寒冬拥抱你,6.65亿
13,狙击手,6.08亿
14,新神榜-杨戬,5.55亿‌‌
15,哥，你好,5.47亿
16,四海,5.42亿
17,反贪风暴5：最终章,4.81亿
18,李茂扮太子,4.62亿
19,坏蛋联盟,3.35亿
20,误杀2,2.82亿
