Ranking,film,box office
1,西游降魔篇,12.47亿
2,钢铁侠3,7.54亿
3,致我们终将逝去的青春,7.19亿
4,环太平洋,6.95亿
5,狄仁杰之神都龙王,6.01亿
6,私人订制,5.88亿
7,中国合伙人,5.38亿
8,北京遇上西雅图,5.19亿
9,小时代,4.84亿
10,地心引力,4.35亿
11,速度与激情6,4.14亿
12,疯狂原始人,3.94亿
13,超人：钢铁之躯,3.94亿
14,007：大破天幕杀机,3.76亿
15,星际迷航2：暗黑无界,3.53亿‌‌
16,侏罗纪公园,3.49亿
17,十二生肖,3.46亿
18,警察故事2013,3.45亿
19,雷神2：黑暗世界,3.42亿
20,特种部队：全面反击,3.38亿
