Ranking,film,box office
1,美人鱼,33.92亿
2,疯狂动物城,15.31亿
3,魔兽,14.7亿
4,美国队长3,12.48亿
5,西游记之孙悟空三打白骨精,12亿
6,湄公河行动,11.82亿
7,澳门风云3,11.1亿
8,盗墓笔记,10.07亿
9,功夫熊猫3,10亿
10,奇幻森林,9.77亿
11,长城,9.76亿
12,绝地逃亡,8.8亿
13,星球大战：原力觉醒,8.19亿
14,从你的全世界路过,8.13亿‌‌
15,X战警：天启,8亿
16,北京遇上西雅图之不二情书,7.8亿
17,叶问3,7.7亿
18,奇异博士,7.5亿
19,寒战2,6.79亿
20,惊天魔盗团2,6.41亿
