Ranking,film,box office
1,‌变形金刚4：绝迹重生,19.76亿
2,‌心花路放,11.69亿
3,‌西游记之大闹天宫,10.45亿
4,‌智取威虎山,7.55亿
5,‌星际穿越,7.23亿
6,‌X战警：逆转未来,7.19亿
7,‌美国队长2,7.07亿
8,‌爸爸去哪儿,6.96亿
9,分手大师,6.65亿
10,‌后会无期,6.28亿
11,银河护卫队,5.96亿
12,超凡蜘蛛侠2,5.85亿
13,‌匆匆那年,5.82亿
14,‌澳门风云,5.24亿‌‌
15,‌小时代3：刺金时代,5.21亿
16,‌一步之遥,4.91亿
17,哥斯拉,4.81亿
18,霍比特人2：史矛革之战,4.62亿
19,‌同桌的你,4.55亿
20,敢死队3,4.52亿
