Ranking,film,box office
1,战狼2,56.84亿
2,速度与激情8,26.70亿
3,羞羞的铁拳,22.13亿
4,功夫瑜伽,17.48亿
5,西游伏妖篇,16.52亿
6,变形金刚5：最后的骑士,15.51亿
7,摔跤吧，爸爸,12.99亿
8,芳华,11.87亿
9,加勒比海盗5：死无对证,11.80亿
10,金刚：骷髅岛,11.58亿
11,寻梦环游记,11.53亿
12,极限特工：终极回归,11.25亿
13,生化危机：终章,11.09亿
14,乘风破浪,10.46亿‌‌
15,神偷奶爸3,10.37亿
16,蜘蛛侠：英雄归来,7.74亿
17,大闹天竺,7.56亿
18,雷神3：诸神黄昏,7.43亿
19,猩球崛起3：终极之战,7.40亿
20,金刚狼3：殊死一战,7.30亿
