Ranking,film,box office
1,长津湖,57.72亿
2,你好，李焕英,54.13亿
3,唐人街探案3,45.15亿
4,我和我的父辈,14.76亿
5,速度与激情9,13.92亿
6,怒火重案,13.29亿
7,中国医生,13.28亿
8,哥斯拉大战金刚,12.32亿
9,送你一朵小红花,11.96亿
10,悬崖之上,11.90亿
11,刺杀小说家,10.35亿
12,扬名立万,9.19亿
13,我的姐姐,8.60亿
14,误杀2,8.38亿‌‌
15,你的婚礼,7.89亿
16,人潮汹涌,7.6亿
17,拆弹专家2,7.12亿
18,温暖的抱抱,6.69亿
19,失控玩家,6.12亿
20,白蛇2:青蛇劫起,5.80亿
