Ranking,film,box office
1,捉妖记 ,24.34亿
2,速度与激情7,24.23亿
3,港囧 ,16.10亿
4,复仇者联盟2,14.61亿
5,夏洛特烦恼 ,14.38亿
6,侏罗纪世界,14.18亿
7,寻龙诀,13.71亿
8,煎饼侠 ,11.57亿
9,澳门风云2,9.72亿
10,西游记之大圣归来,9.54亿
11,碟中谍5 ,8.68亿
12,霍比特人3五军之战,7.61亿
13,天将雄师,7.42亿
14,终结者：创世纪,7.22亿‌‌
15,狼图腾,6.95亿
16,九层妖塔,6.81亿
17,蚁人 ,6.70亿
18,末日崩塌,6.28亿
19,恶棍天使,5.96亿
20,火星救援,5.85亿
