Ranking,film,box office
1,红海行动,36.50亿
2,唐人街探案2,33.97亿
3,我不是药神,31.00亿
4,西红柿首富,25.47亿
5,复仇者联盟3无限战争,23.90亿
6,捉妖记2,22.37亿
7,毒液：致命守护者,18.70亿
8,海王,18.52亿
9,侏罗纪世界2,16.95亿
10,前任3：再见前任,16.46亿
11,头号玩家,13.96亿
12,后来的我们,13.61亿
13,一出好戏,13.55亿
14,无双,12.73亿‌‌
15,碟中谍6：全面瓦解,12.45亿
16,巨齿鲨,10.51亿
17,狂暴巨兽,10.03亿
18,超时空同居,8.99亿
19,蚁人2：黄蜂女现身,8.31亿
20,无名之辈,7.94亿
