Ranking,film,box office
1,满江红,45.44亿
2,流浪地球2,40.29亿
3,孤注一掷,38.49亿
4,消失的她,35.24亿
5,封神-朝歌风云,26.35亿
6,八角笼中,22.07亿
7,长安三万里,18.24亿
8,熊出没-伴我熊芯,14.95亿
9,坚如磐石,13.52亿
10,人生路不熟,11.85亿
11,前任4-英年早婚,10.12亿
12,速度与激情10,9.85亿
13,无名,9.31亿
14,深海,9.19亿‌‌
15,热烈,9.19亿
16,志愿军：雄兵出击,8.57亿
17,巨齿鲨2,8.51亿
18,长空之王,8.50亿
19,铃芽之旅,8.08亿
20,保你平安,7.01亿
