1,「玄幻」,将夜,122412,猫腻
2,「玄幻」,傲世九重天,108291,风凌天下
3,「历史」,锦衣夜行,80058,月关
4,「科幻」,吞噬星空,76153,我吃西红柿
5,「仙侠」,遮天,71117,辰东
6,「都市」,天才相师,70771,打眼
7,「仙侠」,求魔,66103,耳根
8,「玄幻」,武动乾坤,57403,天蚕土豆
9,「玄幻」,光明纪元,50147,血红
10,「玄幻」,神印王座,48690,唐家三少
11,「诸天无限」,最终进化,47303,卷土
12,「体育」,禁区之雄,30461,林海听涛
13,「玄幻」,神煌,26357,开荒
14,「仙侠」,凡人修仙传,24584,忘语
15,「玄幻」,裁决,23170,七十二编
16,「历史」,天下枭雄,21515,高月
17,「游戏」,全职高手,18822,蝴蝶蓝
18,「仙侠」,圣堂,17595,骷髅精灵
19,「历史」,雅骚,16658,贼道三痴
20,「仙侠」,最强弃少,16073,鹅是老五
21,「玄幻」,八零后少林方丈,15875,黑土冒青烟
22,「历史」,一品江山,14758,三戒大师
23,「体育」,超级教练,12444,陈爱庭
24,「科幻」,龙骑战机,12383,华表
25,「玄幻」,宠魅,12095,乱
26,「都市」,工业霸主,11086,齐橙
27,「仙侠」,独步天下,10473,宅猪
28,「科幻」,希灵帝国,10126,远瞳
29,「都市」,惊门,10044,徐公子胜治
30,「玄幻」,造神,9849,苍天白鹤
31,「游戏」,琥珀之剑,9548,绯炎
32,「历史」,官居一品,8782,三戒大师
33,「玄幻」,魔痕,8565,庭雨
34,「历史」,赘婿,8495,愤怒的香蕉
35,「都市」,神医圣手,8233,小小羽
36,「都市」,超级能源强国,7722,志鸟村
37,「历史」,明朝好丈夫,7329,上山打老虎额
38,「仙侠」,不朽丹神,6905,胜己
39,「科幻」,大宇宙时代,6619,zhttty
40,「仙侠」,横行霸道,6312,踏雪真人
41,「历史」,奸臣,6231,府天
42,「历史」,曹贼,6216,庚新
43,「历史」,醉枕江山,6145,月关
44,「仙侠」,百炼成仙,5877,幻雨
45,「玄幻」,雄霸蛮荒,5310,淡定从容的某人
46,「都市」,最佳导演,5266,机器人瓦力
47,「游戏」,暗黑破坏神之毁灭,5207,第七重奏01
48,「历史」,宋时行,5143,庚新
49,「历史」,明末风暴,5075,圣者晨雷
50,「游戏」,召唤圣剑,5014,西贝猫
