1,「玄幻」,斗罗大陆,111566,唐家三少
2,「奇幻」,盘龙,66878,我吃西红柿
3,「仙侠」,凡人修仙传,53709,忘语
4,「仙侠」,阳神,45175,梦入神机
5,「玄幻」,异界之光脑威龙,43582,苍天白鹤
6,「历史」,江山美色,42570,墨武
7,「武侠」,九鼎记,38314,我吃西红柿
8,「玄幻」,间客,37143,猫腻
9,「玄幻」,斗破苍穹,36377,天蚕土豆
10,「科幻」,卡徒,30007,方想
11,「历史」,顺明,28359,特别白
12,「科幻」,冒牌大英雄,27511,七十二编
13,「科幻」,机动风暴,19343,骷髅精灵
14,「历史」,重生于康熙末年,18874,雁九
15,「玄幻」,恶魔法则,18815,跳舞
16,「都市」,天王,17546,跳舞
17,「诸天无限」,王牌进化,16193,卷土
18,「历史」,大争之世,13373,月关
19,「历史」,庆余年,12298,猫腻
20,「玄幻」,长生界,12185,辰东
21,「仙侠」,灵山,11314,徐公子胜治
22,「体育」,冠军教父,9393,林海听涛
23,「科幻」,星际之亡灵帝国,9083,苍天白鹤
24,「仙侠」,修真研究生生活录,8901,断桥残雪
25,「历史」,朱门风流,8798,府天
26,「游戏」,游戏小工之元素操控师,8728,网络黑侠
27,「游戏」,邪影本纪,8304,邪影
28,「科幻」,寂灭天骄,8267,高楼大厦
29,「科幻」,人道天堂,8169,荆柯守
30,「仙侠」,逍行纪,7817,血红
31,「历史」,十龙夺嫡,7185,凤鸣岐山
32,「仙侠」,命运天盘,6810,水平面
33,「历史」,名门,6154,高月
34,「仙侠」,我为纣王之傲啸封神,6087,点精灵
35,「游戏」,网游之近战法师,5977,蝴蝶蓝
36,「玄幻」,凌天传说,5544,风凌天下
37,「历史」,铁血大明,5413,寂寞剑客
38,「仙侠」,重修之灭仙弑神,5010,疯颠
39,「历史」,唐朝公务员,4805,水叶子
40,「历史」,宋时明月,4793,赤虎
41,「仙侠」,仙道求索,4561,虫豸
42,「仙侠」,符医天下,4440,叶天南
43,「都市」,史上第一混乱,4309,张小花
44,「奇幻」,界王,4281,骷髅精灵
45,「历史」,官居一品,4155,三戒大师
46,「科幻」,星墓,4107,风起闲云
47,「历史」,大宋金手指,3816,圣者晨雷
48,「仙侠」,仙逆,3747,耳根
49,「历史」,刑徒,3600,庚新
50,「奇幻」,魔兽领主,3514,高坡
