1,「仙侠」,我欲封天,215408,耳根
2,「仙侠」,造化之门,98827,鹅是老五
3,「玄幻」,一世之尊,96551,爱潜水的乌贼
4,「玄幻」,天域苍穹,85793,风凌天下
5,「科幻」,星战风暴,84863,骷髅精灵
6,「历史」,大宋的智慧,79070,孑与2
7,「玄幻」,三界独尊,75007,犁天
8,「玄幻」,完美世界,74679,辰东
9,「玄幻」,择天记,70762,猫腻
10,「玄幻」,武极天下,69763,蚕茧里的牛
11,「历史」,医统江山,69196,石章鱼
12,「都市」,黄金渔场,67714,全金属弹壳
13,「历史」,夜天子,66336,月关
14,「科幻」,异常生物见闻录,65210,远瞳
15,「玄幻」,儒道至圣,63703,永恒之火
16,「仙侠」,魔天记,61818,忘语
17,「玄幻」,原始战记,50700,陈词懒调
18,「仙侠」,狂仙,44439,陈风笑
19,「游戏」,深渊主宰,44176,诸生浮屠
20,「玄幻」,雪鹰领主,39549,我吃西红柿
21,「都市」,天火大道,38480,唐家三少
22,「都市」,天启之门,38182,跳舞
23,「历史」,赘婿,36651,愤怒的香蕉
24,「仙侠」,飞天,36194,跃千愁
25,「玄幻」,天醒之路,35451,蝴蝶蓝
26,「游戏」,惊悚乐园,33926,三天两觉
27,「都市」,重生之神级学霸,32872,志鸟村
28,「玄幻」,黑铁之堡,31593,醉虎
29,「都市」,重生潜入梦,29446,第十个名字
30,「玄幻」,天择,29070,卷土
31,「游戏」,神级英雄,28333,大烟缸
32,「玄幻」,妖神记,27083,发飙的蜗牛
33,「历史」,寒门崛起,26878,朱郎才尽
34,「奇幻」,巫界术士,26590,文抄公
35,「玄幻」,不死武尊,26561,妖月夜
36,「玄幻」,万古至尊,25986,太一生水
37,「都市」,重生之神级败家子,24771,辰机唐红豆
38,「玄幻」,七界武神,24590,叶之凡
39,「玄幻」,主宰之王,24127,快餐店
40,「都市」,宝鉴,24076,打眼
41,「都市」,佣兵的战争,23896,如水意
42,「游戏」,暗夜游侠,23362,深蓝椰子汁
43,「玄幻」,巫神纪,22857,血红
44,「玄幻」,大主宰,22598,天蚕土豆
45,「历史」,贞观大闲人,22447,贼眉鼠眼
46,「玄幻」,苍穹龙骑,21357,华表
47,「都市」,完美人生,19381,刀一耕
48,「诸天无限」,全方位幻想,19114,如倾如诉
49,「历史」,大明武夫,18793,特别白
50,「玄幻」,帝霸,18617,厌笔萧生
