1,「都市」,万族之劫,2035389,老鹰吃小鸡
2,「仙侠」,我师兄实在太稳健了,951014,言归正传
3,「玄幻」,诡秘之主,709004,爱潜水的乌贼
4,「仙侠」,大奉打更人,617313,卖报小郎君
5,「游戏」,亏成首富从游戏开始,419659,青衫取醉
6,「都市」,第一序列,413708,会说话的肘子
7,「轻小说」,轮回乐园,398130,那一只蚊子
8,「都市」,我真没想重生啊,368518,柳岸花又明
9,「历史」,明天下,349525,孑与2
10,「仙侠」,大梦主,345839,忘语
11,「都市」,当医生开了外挂,341068,手握寸关尺
12,「科幻」,黎明之剑,331102,远瞳
13,「玄幻」,临渊行,318481,宅猪
14,「轻小说」,精灵掌门人,309529,轻泉流响
15,「游戏」,超神机械师,299429,齐佩甲
16,「历史」,神话版三国,291369,坟土荒草
17,「仙侠」,烂柯棋缘,251154,真费事
18,「悬疑」,魔临,239705,纯洁滴小龙
19,「仙侠」,前任无双,201341,跃千愁
20,「都市」,从1983开始,197131,睡觉会变白
21,「奇幻」,天启预报,184380,风月
22,「历史」,绍宋,177686,榴弹怕水
23,「历史」,小阁老,167024,三戒大师
24,「历史」,东晋北府一丘八,165721,指云笑天道1
25,「科幻」,九星毒奶,165041,育
26,「科幻」,暗月纪元,152735,仐三
27,「玄幻」,沧元图,151672,我吃西红柿
28,「悬疑」,我有一座冒险屋,147684,我会修空调
29,「玄幻」,我的徒弟都是大反派,139517,谋生任转蓬
30,「轻小说」,平平无奇大师兄,129738,黑夜弥天
31,「诸天无限」,港综世界大枭雄,122210,萌俊
32,「玄幻」,最初进化,116463,卷土
33,「轻小说」,怪物被杀就会死,115021,阴天神隐
34,「历史」,北宋大丈夫,108336,迪巴拉爵士
35,「科幻」,圣光,108034,通吃
36,「都市」,绝对一番,107207,海底漫步者
37,「诸天无限」,大道纪,105452,裴屠狗
38,「都市」,天降我才必有用,101283,石章鱼
39,「玄幻」,御道倾天,98641,风凌天下
40,「仙侠」,大数据修仙,97756,陈风笑
41,「科幻」,我真没想当救世主啊,97556,火中物
42,「仙侠」,御九天,97500,骷髅精灵
43,「玄幻」,圣墟,95161,辰东
44,「诸天无限」,诸界末日在线,93478,烟火成城
45,「体育」,我真的只是想打铁,91261,静悄悄地写
46,「都市」,生活系游戏,89768,吨吨吨吨吨
47,「都市」,手术直播间,89358,真熊初墨
48,「历史」,赘婿,87369,愤怒的香蕉
49,「历史」,数风流人物,86506,瑞根
50,「都市」,穹顶之上,84762,人间武库
