1,「玄幻」,诡秘之主,1297696,爱潜水的乌贼
2,「都市」,全球高武,850415,老鹰吃小鸡
3,「军事」,谍影风云,609886,寻青藤
4,「玄幻」,伏天氏,406861,净无痕
5,「都市」,大医凌然,406181,志鸟村
6,「都市」,手术直播间,398947,真熊初墨
7,「科幻」,九星毒奶,385265,育
8,「都市」,修真聊天群（聊天群的日常生活）,369012,圣骑士的传说
9,「科幻」,学霸的黑科技系统,344789,晨星LL
10,「都市」,第一序列,319697,会说话的肘子
11,「仙侠」,凡人修仙之仙界篇,307549,忘语
12,「玄幻」,牧神记,303739,宅猪
13,「历史」,明朝败家子,301000,上山打老虎额
14,「科幻」,黎明之剑,279847,远瞳
15,「科幻」,暗月纪元,276849,仐三
16,「游戏」,超神机械师,276665,齐佩甲
17,「轻小说」,轮回乐园,264322,那一只蚊子
18,「玄幻」,史上最强赘婿,261651,沉默的糕点
19,「悬疑」,我有一座冒险屋,250619,我会修空调
20,「悬疑」,深夜书屋,240978,纯洁滴小龙
21,「历史」,神话版三国,189744,坟土荒草
22,「玄幻」,天道图书馆,185495,横扫天涯
23,「都市」,我真没想出名啊,171824,巫马行
24,「都市」,穹顶之上,169173,人间武库
25,「历史」,北宋大丈夫,154218,迪巴拉爵士
26,「玄幻」,圣墟,153632,辰东
27,「历史」,汉乡,153404,孑与2
28,「玄幻」,斗罗大陆IV终极斗罗,150141,唐家三少
29,「仙侠」,道君,141020,跃千愁
30,「玄幻」,全职法师,140740,乱
31,「仙侠」,三寸人间,124456,耳根
32,「玄幻」,万古最强宗,123016,江湖再见
33,「都市」,重生野性时代,122692,王梓钧
34,「都市」,生活系游戏,120088,吨吨吨吨吨
35,「历史」,赘婿,119764,愤怒的香蕉
36,「仙侠」,天下第九,116795,鹅是老五
37,「玄幻」,大道朝天,115657,猫腻
38,「诸天无限」,诸界末日在线,114447,烟火成城
39,「历史」,覆汉,112922,榴弹怕水
40,「都市」,欧神,109282,辰机唐红豆
41,「历史」,秦吏,108508,七月新番
42,「玄幻」,明日之劫,102805,熊狼狗
43,「游戏」,英雄联盟：我的时代,102392,骷髅精灵
44,「都市」,美食供应商,96352,会做菜的猫
45,「诸天无限」,影视世界旅行家,94801,昨夜大雨
46,「玄幻」,儒道至圣,91077,永恒之火
47,「都市」,从1983开始,88549,睡觉会变白
48,「仙侠」,剑徒之路,88402,惰堕
49,「仙侠」,烂柯棋缘,87973,真费事
50,「仙侠」,我从凡间来,87726,想见江南
