1,「都市」,空速星痕,24416,唐家三少
2,「仙侠」,佛本是道,19357,梦入神机
3,「玄幻」,至尊无赖,18401,跳舞
4,「游戏」,从零开始,15289,雷云风暴
5,「仙侠」,邪风曲,14394,血红
6,「仙侠」,惟我独仙,13478,唐家三少
7,「玄幻」,江山美人志,11599,瑞根
8,「科幻」,师士传说,10076,方想
9,「游戏」,蜀山,9326,流浪的蛤蟆
10,「仙侠」,寸芒,6622,我吃西红柿
11,「体育」,我们是冠军,6194,林海听涛
12,「游戏」,猛龙过江,6016,骷髅精灵
13,「历史」,大汉帝国风云录,5757,猛子
14,「历史」,随波逐流之一代军师,5704,随波逐流
15,「玄幻」,张三丰异界游,5641,写字板
16,「游戏」,网游之天地,4856,隐为者
17,「历史」,楚氏春秋,4758,宁致远
18,「玄幻」,格斗狂想,4508,铅笔刀
19,「游戏」,迦南之心,4038,绯炎
20,「科幻」,星群,3697,懒狮子
21,「游戏」,网游——屠龙巫师,3389,宛若新衣
22,「历史」,宋风,3269,戒念
23,「玄幻」,朱雀记,3251,猫腻
24,「军事」,弹痕,3144,纷舞妖姬
25,「仙侠」,星峰传说,3079,我吃西红柿
26,「仙侠」,星耀幻世,3049,夜神舞.QD
27,「悬疑」,鬼吹灯（盗墓者的经历）,2818,本物天下霸唱
28,「历史」,凌云志异,2763,府天
29,「游戏」,超级玩家,2610,黯然销魂
30,「奇幻」,变脸武士,2068,跳舞
31,「玄幻」,三眼神王,2006,骷髅精灵
32,「历史」,龙游大唐之贞元记事,1925,水叶子
33,「奇幻」,泰坦穹苍下,1889,新月
34,「玄幻」,神墓,1887,辰东
35,「军事」,国破山河在,1765,华表
36,「历史」,横行,1700,断刃天涯
37,「科幻」,星际盗墓,1696,古剑锋
38,「游戏」,独闯天涯,1680,蝴蝶蓝
39,「玄幻」,武当传人在异界,1637,翔炎
40,「玄幻」,历史的尘埃,1345,知秋
41,「游戏」,孤星传说,1223,木斧头
42,「都市」,败家子,1204,平凡心
43,「玄幻」,紫川,1182,老猪
44,「游戏」,SC之彼岸花,1031,无罪
45,「游戏」,高手寂寞,1030,兰帝魅晨
46,「仙侠」,欲成仙,963,石三
47,「历史」,帝国狂澜,947,撞破南墙
48,「奇幻」,魔运苍茫,935,瑞根
49,「仙侠」,时空妖灵,914,流浪的蛤蟆
50,「游戏」,游戏的世界,900,小穆
