1,「都市」,大王饶命,1128305,会说话的肘子
2,「玄幻」,牧神记,950371,宅猪
3,「玄幻」,圣墟,513184,辰东
4,「都市」,修真聊天群（聊天群的日常生活）,481411,圣骑士的传说
5,「历史」,汉乡,426733,孑与2
6,「玄幻」,太初,425168,高楼大厦
7,「玄幻」,诡秘之主,381436,爱潜水的乌贼
8,「仙侠」,道君,367906,跃千愁
9,「仙侠」,凡人修仙之仙界篇,367373,忘语
10,「都市」,全球高武,342680,老鹰吃小鸡
11,「仙侠」,飞剑问道,319460,我吃西红柿
12,「玄幻」,天道图书馆,314199,横扫天涯
13,「历史」,赘婿,291189,愤怒的香蕉
14,「历史」,带着仓库到大明,249733,迪巴拉爵士
15,「悬疑」,我有一座冒险屋,244751,我会修空调
16,「都市」,大医凌然,241992,志鸟村
17,「玄幻」,伏天氏,238278,净无痕
18,「历史」,明朝败家子,217202,上山打老虎额
19,「游戏」,超神机械师,213151,齐佩甲
20,「军事」,谍影风云,188387,寻青藤
21,「历史」,神话版三国,186132,坟土荒草
22,「悬疑」,深夜书屋,170676,纯洁滴小龙
23,「现实」,我的1979,167732,争斤论两花花帽
24,「玄幻」,儒道至圣,157130,永恒之火
25,「仙侠」,斗战狂潮,154470,骷髅精灵
26,「玄幻」,全职法师,147869,乱
27,「科幻」,学霸的黑科技系统,144566,晨星LL
28,「玄幻」,斗罗大陆III龙王传说,137040,唐家三少
29,「轻小说」,轮回乐园,134251,那一只蚊子
30,「历史」,秦吏,131809,七月新番
31,「玄幻」,圣武称尊,130192,小圆源
32,「都市」,美食供应商,126820,会做菜的猫
33,「都市」,逆流纯真年代,124428,人间武库
34,「科幻」,黎明之剑,118994,远瞳
35,「都市」,极品全能高手,105637,花都大少
36,「玄幻」,大道朝天,104371,猫腻
37,「奇幻」,放开那个女巫,103916,二目
38,「仙侠」,极道天魔,98596,滚开
39,「仙侠」,三寸人间,95094,耳根
40,「仙侠」,天下第九,94481,鹅是老五
41,「轻小说」,奶爸的异界餐厅,93012,轻语江湖
42,「玄幻」,超级神基因,89864,十二翼黑暗炽天使
43,「诸天无限」,诸界末日在线,85154,烟火成城
44,「仙侠」,我从凡间来,81711,想见江南
45,「军事」,间谍的战争,81596,如水意
46,「玄幻」,恶魔就在身边,80466,汉宝
47,「玄幻」,我是至尊,80440,风凌天下
48,「游戏」,落地一把98K,79877,Iced子夜
49,「仙侠」,大道争锋,78876,误道者
50,「仙侠」,大数据修仙,77789,陈风笑
