1,「玄幻」,斗破苍穹,115133,天蚕土豆
2,「玄幻」,武神,100911,苍天白鹤
3,「历史」,步步生莲,79682,月关
4,「仙侠」,阳神,77233,梦入神机
5,「仙侠」,凡人修仙传,71151,忘语
6,「玄幻」,异世邪君,47599,风凌天下
7,「科幻」,冒牌大英雄,42638,七十二编
8,「仙侠」,仙逆,41932,耳根
9,「玄幻」,猎国,40762,跳舞
10,「玄幻」,间客,40312,猫腻
11,「武侠」,九鼎记,39991,我吃西红柿
12,「奇幻」,酒神,37968,唐家三少
13,「科幻」,吞噬星空,36696,我吃西红柿
14,「仙侠」,仙葫,32543,流浪的蛤蟆
15,「体育」,冠军传奇,22457,林海听涛
16,「仙侠」,邪龙道,22236,血红
17,「历史」,重生于康熙末年,16953,雁九
18,「玄幻」,武装风暴,16269,骷髅精灵
19,「都市」,地师,15293,徐公子胜治
20,「历史」,官居一品,15148,三戒大师
21,「都市」,黄金瞳,14293,打眼
22,「科幻」,寂灭天骄,12890,高楼大厦
23,「玄幻」,召唤万岁,12396,霞飞双颊
24,「奇幻」,天谴之心,12094,荆柯守
25,「历史」,锦衣当国,11670,特别白
26,「游戏」,英雄无敌之十二翼天使,11233,七十二翼天使
27,「历史」,上品寒士,10385,贼道三痴
28,「游戏」,网游之近战法师,9593,蝴蝶蓝
29,「科幻」,星际游轮,9433,古剑锋
30,「历史」,篡唐,8988,庚新
31,「历史」,朱门风流,8708,府天
32,「玄幻」,傲剑凌云,8311,小刀锋利
33,「仙侠」,君临,7638,开荒
34,「历史」,唐骑,7009,阿菩
35,「游戏」,练级狂人在异界,6235,网络黑侠
36,「玄幻」,长生界,5954,辰东
37,「历史」,天下,5815,高月
38,「科幻」,末世超级商人,5589,雨水
39,「玄幻」,混乱战神,5402,撞破南墙
40,「仙侠」,通天大圣,5378,蛇吞鲸
41,「玄幻」,气冲星河,5375,犁天
42,「游戏」,重生之法神传说,4957,抽根烟点寂寞
43,「都市」,疯狂的硬盘,4949,银河九天
44,「仙侠」,未来军医,4688,胜己
45,「游戏」,邪影本纪,4634,邪影
46,「历史」,三国之宅行天下,4199,贱宗首席弟子
47,「玄幻」,斗铠,4050,老猪
48,「仙侠」,遮天,3920,辰东
49,「游戏」,迦南之心,3828,绯炎
50,「奇幻」,重林巨蜥,3739,人勿玩人
