1,「仙侠」,邪风曲,16582,血红
2,「奇幻」,变脸武士,11398,跳舞
3,「游戏」,猛龙过江,9837,骷髅精灵
4,「历史」,商业三国,8971,赤虎
5,「历史」,楚氏春秋,8665,宁致远
6,「游戏」,从零开始,5650,雷云风暴
7,「玄幻」,江山美人志,5141,瑞根
8,「游戏」,高手寂寞,4419,兰帝魅晨
9,「体育」,我们是冠军,3659,林海听涛
10,「科幻」,数字生命,3426,格子里的夜晚
11,「仙侠」,惟我独仙,3384,唐家三少
12,「奇幻」,善良的死神,2245,唐家三少
13,「玄幻」,神魔,1990,血红
14,「都市」,重生传说,1930,周行文
15,「历史」,三国战神,1221,风中啸
16,「玄幻」,紫川,1077,老猪
17,「游戏」,网游之众生,933,众生
18,「历史」,大汉帝国风云录,858,猛子
19,「游戏」,绝世游戏,809,修罗晓梦
20,「奇幻」,泰坦穹苍下,780,新月
21,「游戏」,网游之天地,769,隐为者
22,「历史」,随波逐流之一代军师,688,随波逐流
23,「武侠」,不死不灭,469,辰东
24,「玄幻」,异时空纵横三国梦,422,风华爵士
25,「玄幻」,三眼神王,415,骷髅精灵
26,「游戏」,游戏的世界,403,小穆
27,「仙侠」,风起紫罗峡,386,荆柯守
28,「游戏」,孤星传说,376,木斧头
29,「仙侠」,升龙道,332,血红
30,「游戏」,网游之格斗——战无不胜,331,开玩笑
31,「军事」,国破山河在,327,华表
32,「游戏」,女娲界,316,傲无常
33,「游戏」,网游家庭之解迷专家,246,哈贝达斯
34,「游戏」,零度梦幻,240,BLOODSKY
35,「历史」,战国逆风记,232,荆柯守
36,「游戏」,SC之彼岸花,203,无罪
37,「玄幻」,历史的尘埃,144,知秋
38,「武侠」,缺月梧桐,137,缺月梧桐
39,「玄幻」,天地战魂,101,流浪的蛤蟆
40,「科幻」,星群,38,懒狮子
41,「仙侠」,仙魔战记,38,碧落黄泉
42,「奇幻」,千面人,32,开玩笑
43,「武侠」,隐江湖,26,醉步拖刀
44,「都市」,冬之无名,24,边界
45,「奇幻」,血之仲裁者,19,晨昏
46,「历史」,凌云志异,16,府天
47,「体育」,有多少棋可以重来,14,爱情有害健康
48,「仙侠」,天鹏纵横,10,流浪的蛤蟆
49,「历史」,宋代风流,9,网络村夫
50,「仙侠」,鬼雨仙踪,9,鬼雨
