1,「仙侠」,莽荒纪,127667,我吃西红柿
2,「历史」,醉枕江山,87550,月关
3,「玄幻」,光明纪元,86898,血红
4,「历史」,唐砖,72801,孑与2
5,「玄幻」,完美世界,68824,辰东
6,「仙侠」,最强弃少,66759,鹅是老五
7,「体育」,胜者为王,63604,林海听涛
8,「玄幻」,傲世九重天,56221,风凌天下
9,「玄幻」,斗罗大陆II绝世唐门,54847,唐家三少
10,「玄幻」,大主宰,53745,天蚕土豆
11,「仙侠」,求魔,51701,耳根
12,「玄幻」,将夜,47901,猫腻
13,「仙侠」,圣堂,44564,骷髅精灵
14,「玄幻」,武动乾坤,42342,天蚕土豆
15,「玄幻」,奥术神座,39885,爱潜水的乌贼
16,「游戏」,全职高手,37393,蝴蝶蓝
17,「科幻」,龙骑战机,37351,华表
18,「都市」,宝鉴,26278,打眼
19,「仙侠」,遮天,25910,辰东
20,「都市」,天才相师,25408,打眼
21,「都市」,韩娱之天王,22424,呓语痴人
22,「诸天无限」,最终进化,21951,卷土
23,「历史」,赘婿,21680,愤怒的香蕉
24,「都市」,惊门,20216,徐公子胜治
25,「都市」,超级能源强国,18077,志鸟村
26,「玄幻」,武极天下,16793,蚕茧里的牛
27,「仙侠」,凡人修仙传,16762,忘语
28,「科幻」,末世盗贼行,15029,雨水
29,「历史」,明朝伪君子,14557,贼眉鼠眼
30,「历史」,悍戚,14255,庚新
31,「科幻」,希灵帝国,14099,远瞳
32,「玄幻」,天骄无双,13875,跳舞
33,「玄幻」,神座,13213,皇甫奇
34,「玄幻」,神煌,13207,开荒
35,「仙侠」,升邪,12490,豆子惹的祸
36,「仙侠」,帝尊,12278,宅猪
37,「仙侠」,万界永仙,11810,石三
38,「玄幻」,巫师世界,10905,滚开
39,「游戏」,琥珀之剑,10632,绯炎
40,「历史」,一品江山,10551,三戒大师
41,「玄幻」,裁决,10530,七十二编
42,「游戏」,高手寂寞2,10040,兰帝魅晨
43,「历史」,天下枭雄,9227,高月
44,「都市」,拣宝,8787,烛
45,「历史」,晚明,8552,柯山梦
46,「玄幻」,武神空间,8383,傅啸尘
47,「游戏」,惊悚乐园,8099,三天两觉
48,「游戏」,召唤圣剑,8087,西贝猫
49,「历史」,士子风流,8074,上山打老虎额
50,「游戏」,暗黑破坏神之毁灭,7837,第七重奏01
