1,「玄幻」,恶魔法则,130043,跳舞
2,「历史」,庆余年,74223,猫腻
3,「奇幻」,盘龙,65941,我吃西红柿
4,「奇幻」,琴帝,60716,唐家三少
5,「仙侠」,星辰变,50264,我吃西红柿
6,「历史」,极品家丁,49299,禹岩
7,「科幻」,星际之亡灵帝国,29734,苍天白鹤
8,「历史」,初唐房二传,26209,晴了
9,「历史」,混在三国当军阀,25302,寂寞剑客
10,「科幻」,师士传说,22000,方想
11,「玄幻」,神墓,18462,辰东
12,「历史」,恶汉,17419,庚新
13,「科幻」,卡徒,14790,方想
14,「科幻」,冒牌大英雄,14486,七十二编
15,「历史」,江山美色,14131,墨武
16,「体育」,冠军教父,13563,林海听涛
17,「玄幻」,莲花宝鉴,13453,油炸包子
18,「科幻」,机动风暴,12787,骷髅精灵
19,「玄幻」,恶魔岛,12087,流浪的蛤蟆
20,「历史」,回到明朝当王爷,11811,月关
21,「玄幻」,人欲,10048,徐公子胜治
22,「仙侠」,天劫医生,9903,胜己
23,「都市」,史上第一混乱,8961,张小花
24,「玄幻」,异界之极品奶爸,8827,圣骑士的传说
25,「科幻」,时空走私从2000年开始,8448,志鸟村
26,「仙侠」,仙界修仙,8277,莫默
27,「仙侠」,重生混元道,7783,鱼泪满江
28,「诸天无限」,无限恐怖,7546,zhttty
29,「诸天无限」,王牌进化,7522,卷土
30,「仙侠」,重生成妖,7008,蛇吞鲸
31,「仙侠」,张三丰弟子现代生活录,6958,断桥残雪
32,「游戏」,扬眉,6802,无罪
33,「仙侠」,凡人修仙传,6758,忘语
34,「仙侠」,炼宝专家,6322,风起闲云
35,「玄幻」,召唤千军,6136,高森
36,「历史」,大唐御医,5973,半堕落的恶魔
37,「玄幻」,飞升之后,5545,皇甫奇
38,「仙侠」,我意逍遥,5543,飞之鸟
39,「奇幻」,狼神,5522,月关
40,「历史」,牧唐,5518,柳一条
41,「游戏」,网游之模拟城市,5419,笨太子
42,「游戏」,从零开始,5072,雷云风暴
43,「游戏」,貌似高手在异界,4924,高楼大厦
44,「游戏」,网游三国之城市攻略,4895,百里玺
45,「游戏」,法师传奇,4716,麻烦
46,「仙侠」,仙墓中走出的强者,4664,疯狂骷髅
47,「玄幻」,仙之雇佣军,4646,写字板
48,「游戏」,终极牧师,4466,夏小白
49,「历史」,恶明,4381,特别白
50,「历史」,纳妾记,4272,沐轶
