Ranking,book,douban score,Readed
1,失踪的孩子,9.2,119000
2,追寻逝去的时光,9.2,3501
3,房思琪的初恋乐园,9.2,513000
4,奥古斯都,9.2,15000
5,我们一无所有,8.7,27000
6,莫斯科绅士,8.8,30000
7,如父如子,8.9,44000
8,观山海,8.5,9430
9,漫长的告别,8.2,52000
10,回答不了,8.4,23000
