Ranking,book,douban score,Readed
1,世上为什么要有图书馆,8.9,15000
2,我的母亲做保洁,8.5,12000
3,比山更高，自由攀登者的悲情与荣耀,9.3,1880
4,我看见的世界-李飞飞自传,9.1,3012
5,暗处的女儿,9.0,3737
6,猫鱼,8.9,3123
7,康熙的红票-全球化中的清朝,9.4,1153
8,无条件投降博物馆,9.0,1661
9,语言恶女-女性如何夺回语言,8.9,1735
10,我用中文做了一场梦,8.2,2358
