Ranking,book,douban score,Readed
1,切尔诺贝利的午夜,9.1,6377
2,鹿川有许多粪,8.9,43000
3,其主之声,8.9,6505
4,十三邀3我们都在给大问题做注脚,8.7,4578
5,刘擎西方现代思想讲义,9.2,43000
6,挽救计划,9.1,14000
7,桶王跟踪狂杀人事件,9.0,59000
8,她来自马里乌波尔,9.1,14000
9,重走-在公路，河流和驿道寻找西南联大,8.9,10000
10,成为波伏瓦,9.0,20000
