Ranking,book,douban score,Readed
1,呼吸,8.5,45000
2,建筑师,9.1,8300
3,OPUS作品,9.3,16000
4,时间的秩序,8.9,27000
5,死屋,8.8,3882
6,你当像鸟飞往你的山,8.7,246000
7,了不起的我-自我发展心理学,8.9,14000
8,克莱因壶,8.8,98000
9,3秒,8.7,11000
10,有所不为的反叛者,8.7,11000
