Ranking,book,douban score,Readed
1,始于极限-女性主义往复书简,9.0,84000
2,可能性的艺术-比较政治学30讲,9.1,47000
3,足利女童连续失踪事件,9.0,28000
4,如雪如山,8.4,27000
5,我本芬芳,8.2,50000
6,看不见的女性,9.2,18000
7,必有人重写爱情,8.8,7139
8,应得的权利-男性特权如何伤害女性,8.7,6028
9,漫长的余生-一个北魏宫女和她的时代,8.1,17000
10,当我们不再理解世界,8.2,25000
