Ranking,book,douban score,Readed
1,二手时间,8.9,34000
2,极简宇宙史,9.1,8995
3,无人生还,8.8,36000
4,灯塔,9.1,21000
5,活着为了讲述,9.0,17000
6,造房子,8.2,6539
7,北鸢,7.7,13000
8,斯通纳,8.8,97000
9,我可以咬一口吗,8.7,49000
10,我脑袋里的怪东西,8.5,7400
