Ranking,book,douban score,Readed
1,Mondo电影海报艺术典藏,9.4,8535
2,第三帝国的到来,9.4,5070
3,知晓我姓名,9.1,10000
4,父权制与资本主义,9.2,22000
5,漩涡：全2册,9.2,9396
6,碎片,8.9,8155
7,地球上最孤独的动物,9.0,3192
8,目光,8.7,19000
9,马克瓦尔多,8.9,25000
10,土星之环,8.4,9272
