Ranking,book,douban score,Readed
1,火星救援,8.9,32000
2,你今天真好看,8.6,175000
3,最好的告别,9.0,66000
4,你一生的故事,8.7,49000
5,最后的耍猴人,8.8,6966
6,异乡人,9.1,30000
7,夜莺与玫瑰,9.0,17000
8,创业维艰-如何完成比难更难的事,8.3,11000
9,我不喜欢这世界，我只喜欢你,8.0,145000
10,24个比利,8.1,84000
