Ranking,book,douban score,Readed
1,我在北京送快递,8.1,61000
2,明亮的夜晚,9.0,38000
3,一百年，许多人，许多事,8.5,9462
4,同意,8.7,15000
5,我还能看到多少次满月升起,8.7,8737
6,为了活下去的思想,8.8,3518
7,凯列班与女巫-妇女，身体与原始积累,9.0,4970
8,赶时间的人-一个外卖员的诗,8.4,7387
9,多谈谈问题-单读33,8.5,7490
10,疼痛部,8.6,9187
