Ranking,film,box office
1,热辣滚烫,34.60亿
2,飞驰人生2,33.98亿
3,抓娃娃,33.27亿
4,第二十条,24.54亿
5,熊出没·逆转时空,20.06亿
6,默杀,13.51亿
7,志愿军:存亡之战,12.05亿
8,‌年会不能停!,10.61亿
9,哥斯拉大战金刚2:帝国崛起,9.56亿
10,你想活出怎样的人生,7.91亿
11,异形夺命舰,7.86亿
12,末路狂花钱,7.81亿
13,九龙城寨之围城,6.85亿
14,毒液最后一舞,6.83亿‌‌
15,‌周处除三害,6.65亿
16,好东西,6.41亿
17,维和防暴队,5.11亿
18,云边有个小卖部,4.98亿
19,重生,4.64亿
20,浴火之路,4.62亿
