Ranking,film,box office
1,哪吒之魔童降世,50.03亿
2,流浪地球,46.81亿
3,复仇者联盟4终局之战,42.49亿
4,我和我的祖国,31.23亿
5,中国机长,29.03亿
6,疯狂外星人,22.11亿
7,飞驰人生,17.26亿
8,烈火英雄,17.03亿
9,少年的你,15.56亿
10,速度与激情：特别行动,14.3亿
11,蜘蛛侠：英雄远征,14.1亿
12,扫毒2天地对决,13.1亿
13,大黄蜂,11.4亿
14,攀登者,10.9亿‌‌
15,惊奇队长,10.3亿
16,比悲伤更悲伤的故事,9.5亿
17,哥斯拉2：怪兽之王,9.3亿
18,阿丽塔：战斗天使,8.9亿
19,银河补习班,8.7亿
20,狮子王,8.3亿
